zip,Type,total_stores,VegInventory_pct,MeatInventory_pct,PoultryInventory_pct,FishInventory_pct,GrainsInventory_pct,LegumesBeansNutsInventory_pct,EggCheeseInventory_pct,OtherInventory_pct
21230,Fastfood,22,1,1,1,1,1,1,1,1
21231,Fastfood,8,1,1,1,1,1,1,1,1
21234,Fastfood,20,1,1,1,1,1,1,1,1
21237,Fastfood,20,1,1,1,1,1,1,1,1
21239,Fastfood,3,1,1,1,1,1,1,1,1
21201,Restaurants,158,1,1,1,1,1,1,1,1
21202,Restaurants,181,1,1,1,1,1,1,1,1
21204,Restaurants,65,1,1,1,1,1,1,1,1
21205,Restaurants,41,1,1,1,1,1,1,1,1
21206,Restaurants,43,1,1,1,1,1,1,1,1
21207,Restaurants,43,1,1,1,1,1,1,1,1
21208,Restaurants,43,1,1,1,1,1,1,1,1
21209,Restaurants,28,1,1,1,1,1,1,1,1
21210,Restaurants,15,1,1,1,1,1,1,1,1
21211,Restaurants,66,1,1,1,1,1,1,1,1
21212,Restaurants,39,1,1,1,1,1,1,1,1
21213,Restaurants,24,1,1,1,1,1,1,1,1
21214,Restaurants,19,1,1,1,1,1,1,1,1
21215,Restaurants,69,1,1,1,1,1,1,1,1
21216,Restaurants,16,1,1,1,1,1,1,1,1
21217,Restaurants,32,1,1,1,1,1,1,1,1
21218,Restaurants,89,1,1,1,1,1,1,1,1
21219,Restaurants,13,1,1,1,1,1,1,1,1
21220,Restaurants,45,1,1,1,1,1,1,1,1
21221,Restaurants,46,1,1,1,1,1,1,1,1
21222,Restaurants,65,1,1,1,1,1,1,1,1
21223,Restaurants,50,1,1,1,1,1,1,1,1
21224,Restaurants,156,1,1,1,1,1,1,1,1
21225,Restaurants,29,1,1,1,1,1,1,1,1
21226,Restaurants,11,1,1,1,1,1,1,1,1
21227,Restaurants,40,1,1,1,1,1,1,1,1
21228,Restaurants,62,1,1,1,1,1,1,1,1
21229,Restaurants,36,1,1,1,1,1,1,1,1
21230,Restaurants,163,1,1,1,1,1,1,1,1
21231,Restaurants,108,1,1,1,1,1,1,1,1
21234,Restaurants,65,1,1,1,1,1,1,1,1
21236,Restaurants,81,1,1,1,1,1,1,1,1
21237,Restaurants,41,1,1,1,1,1,1,1,1
21239,Restaurants,12,1,1,1,1,1,1,1,1
