"zip","Type","total_stores","VegInventory_pct","MeatInventory_pct","PoultryInventory_pct","FishInventory_pct","GrainsInventory_pct","LegumesBeansNutsInventory_pct","EggCheeseInventory_pct","OtherInventory_pct"
21201,"ConvenienceStores",34,0.506337383529412,0.284372840235294,0.122503547147059,0.0837607772647059,0.861726508676471,0.677550565441176,0.400451089117647,1
21201,"SupermarketsStores",5,0.8106150796,0.5653253972,0.6552619052,0.636797619,0.9344761904,0.8755773808,0.4565714284,1
21202,"ConvenienceStores",35,0.497340427314286,0.284096049742857,0.118455720371429,0.08311225,0.869987219028571,0.674016530514286,0.4014402132,1
21202,"SupermarketsStores",2,0.996527778,0.743055556,0.993055556,0.989583333,1,0.984375,0.5,1
21203,"ConvenienceStores",1,0.531746032,0.298730159,0.148571429,0.107619048,0.836190476,0.712380952,0.391428571,1
21205,"ConvenienceStores",34,0.514469087411765,0.291599475,0.126245434470588,0.0926515659411765,0.85170953217647,0.687069837764706,0.399765885735294,1
21205,"SupermarketsStores",2,0.764136905,0.5208928575,0.5708134925,0.5486011905,0.918095238,0.848377976,0.4457142855,1
21206,"ConvenienceStores",23,0.477879704,0.302299202304348,0.121724272304348,0.108873353652174,0.88322855873913,0.693642891391304,0.398733145913043,1
21206,"SupermarketsStores",3,0.996527778,0.743055556,0.993055556,0.989583333,1,0.984375,0.5,1
21207,"ConvenienceStores",5,0.5044091712,0.316144621,0.1534250444,0.1342433866,0.8578412696,0.7328677246,0.3872169308,1
21207,"SupermarketsStores",1,0.996527778,0.743055556,0.993055556,0.989583333,1,0.984375,0.5,1
21209,"ConvenienceStores",2,0.429937126,0.243171511,0.052566481,0.017779839,0.9393939395,0.581903216,0.423778602,1
21209,"SupermarketsStores",1,0.996527778,0.743055556,0.993055556,0.989583333,1,0.984375,0.5,1
21210,"ConvenienceStores",2,0.507034632,0.276890332,0.0894372295,0.0613852815,0.8574891775,0.6421753245,0.415411255,1
21210,"SupermarketsStores",1,0.996527778,0.743055556,0.993055556,0.989583333,1,0.984375,0.5,1
21211,"ConvenienceStores",15,0.472025622666667,0.273575589666667,0.0881336418,0.0620646373333333,0.8932082732,0.6389365308,0.412557776933333,1
21211,"SupermarketsStores",3,0.841600529333333,0.594947090333333,0.711560847,0.695595238,0.945396825333333,0.893710317333333,0.463809523666667,1
21212,"ConvenienceStores",16,0.49429169825,0.2915276205,0.136261653125,0.099587112875,0.87367063475,0.69618102775,0.3932501885625,1
21213,"ConvenienceStores",45,0.509316648622222,0.301974077088889,0.1458124916,0.113638028377778,0.856733685866667,0.713449903133333,0.390672377177778,1
21213,"SupermarketsStores",2,0.996527778,0.743055556,0.993055556,0.989583333,1,0.984375,0.5,1
21214,"ConvenienceStores",14,0.471088844285714,0.309431061571429,0.124894687142857,0.119609997142857,0.887948876357143,0.702949342714286,0.396885570571429,1
21214,"SupermarketsStores",4,0.764136905,0.5208928575,0.5708134925,0.5486011905,0.918095238,0.848377976,0.4457142855,1
21215,"ConvenienceStores",61,0.495222756590164,0.297076433426229,0.130531244803279,0.103706159639344,0.869613701262295,0.696166082393443,0.396162314163934,1
21215,"SupermarketsStores",8,0.93843005975,0.687514881375,0.887495040125,0.879337797375,0.9795238095,0.950375744,0.486428571375,1
21216,"ConvenienceStores",38,0.511078230842105,0.296839423210526,0.140914672789474,0.105307026894737,0.855941368394737,0.704560526210526,0.392903651210526,1
21216,"SupermarketsStores",1,0.996527778,0.743055556,0.993055556,0.989583333,1,0.984375,0.5,1
21217,"ConvenienceStores",60,0.5220500548,0.299384647933333,0.146922315,0.109149408266667,0.845259259066667,0.711777273533333,0.3912844541,1
21217,"SupermarketsStores",1,0.996527778,0.743055556,0.993055556,0.989583333,1,0.984375,0.5,1
21218,"ConvenienceStores",54,0.507453704888889,0.297757931407407,0.138336264611111,0.105882763425926,0.858709849648148,0.703238819018518,0.393773053888889,1
21218,"SupermarketsStores",5,0.9035714288,0.6541904766,0.8241587306,0.813190476,0.9672380952,0.9299761904,0.4782857142,1
21221,"ConvenienceStores",1,0.482323232,0.255050505,0.03030303,0.015151515,0.878787879,0.571969697,0.439393939,1
21222,"ConvenienceStores",2,0.43869248,0.320426487,0.101571268,0.127946128,0.9116161615,0.693392256,0.4048821545,1
21223,"ConvenienceStores",66,0.515969754060606,0.302621168272727,0.146383383424242,0.113660247424242,0.850000874348485,0.714360794818182,0.391067112681818,1
21223,"SupermarketsStores",3,0.841600529333333,0.594947090333333,0.711560847,0.695595238,0.945396825333333,0.893710317333333,0.463809523666667,1
21224,"ConvenienceStores",62,0.509699807032258,0.292635118096774,0.127102005612903,0.094926420483871,0.856225387387097,0.688857667935484,0.398955718725806,1
21224,"SupermarketsStores",8,0.93843005975,0.687514881375,0.887495040125,0.879337797375,0.9795238095,0.950375744,0.486428571375,1
21225,"ConvenienceStores",21,0.511668079238095,0.300782809380952,0.133987188857143,0.107087656904762,0.852585721,0.702077807285714,0.39627522347619,1
21225,"SupermarketsStores",1,0.531746032,0.298730159,0.148571429,0.107619048,0.836190476,0.712380952,0.391428571,1
21226,"ConvenienceStores",7,0.524685632,0.292490208428571,0.131675943428571,0.0944094004285714,0.842275819285714,0.692322201285714,0.398280766428571,1
21227,"ConvenienceStores",1,0.482323232,0.255050505,0.03030303,0.015151515,0.878787879,0.571969697,0.439393939,1
21227,"SupermarketsStores",1,0.996527778,0.743055556,0.993055556,0.989583333,1,0.984375,0.5,1
21229,"ConvenienceStores",22,0.510860772363636,0.308618217,0.146504875909091,0.121568936454545,0.852888626318182,0.719966876272727,0.390737242136364,1
