"income","Non-meat marketing campaign (Scenario 1)","Increase in meat pricing (Scenario 2)","Increase in non-meat options (Scenario 3)","Combined non-meat push (Scenario 4)"
"Less than $25k",0.041046880276723,0.0314681701829798,0.0910305026159717,0.123645404642819
"$25k - $55k",0.0411167228719379,0.0316976454716362,0.0880586285528865,0.120084247788798
"$55k - $75k",0.041399363424357,0.0318634547355416,0.0881174658144628,0.119950055710521
"More than $75k",0.0428490415821061,0.0348003679178958,0.0963220063038736,0.129080439810052
