"AREA_NMBR","LowIncRatio","BlackProp","ComprehensiveMarketingMeat","MeatlessMondayMeat","MoreMeatMeatless","PriceSurgeMeat"
"21212",0.253175975343907,0.402225421390438,0.0646896687384204,0.0216067597210551,0.0415459834321545,0.0194375317283504
"21210",0.107462686567164,0.0901321412135954,0.0756384913531196,0.0180498688531391,0.0529338918797313,0.0224365241948617
"21209",0.233044320232384,0.177577098800685,0.0697374244647969,0.0249207760995404,0.0482706877259435,0.0227493989416037
"21215",0.926812382553654,0.803117407521473,0.0675157296438792,0.0216134993307962,0.0472576922561914,0.0193027945204982
"21214",0.322633025231077,0.558173576352819,0.077684054428431,0.0242053433991917,0.0607967123607326,0.0211910060211202
"21206",0.56010771884172,0.713634600465477,0.0611154656934801,0.0212396662145544,0.0378070873427072,0.0146918233037529
"21218",0.718091784070303,0.604692701144759,0.0743682186340264,0.0292128782568842,0.0551652766775269,0.0251786407737191
"21211",0.353263577478824,0.0989199803632793,0.0779581474058522,0.0212732930907501,0.0571349576187483,0.0200917498260274
"21213",1.31478641840088,0.884861676287814,0.0638061446837025,0.0271594863970256,0.0406325943627926,0.0205698341246754
"21217",1.1506798054135,0.85172833777984,0.063521082109527,0.0166341914950722,0.0430723487017774,0.00891863869442536
"21216",1.15977999312479,0.949067294836697,0.0571492081857249,0.0152293483922336,0.0403941524205442,0.0164138454341925
"21205",1.77782012195122,0.628961448758403,0.0676910660253915,0.015736065647975,0.0467643808351793,0.0120742320837451
"21202",0.879753064328532,0.57977153736316,0.0670484630544117,0.020411700970441,0.052065231854073,0.0182533415150427
"21201",1.15033253858702,0.498774509803922,0.0762912262460135,0.0199956294718656,0.0532759393541338,0.0179809273222171
"21229",0.841494994782205,0.753489348305174,0.0471215535563574,0.0234436950201746,0.031832325892741,0.010981854679098
"21224",0.584797159287308,0.160569468403625,0.0705270146635439,0.0219679027572843,0.0506782252394451,0.0207401362493578
"21231",0.479172388537947,0.295289967196881,0.0746583586256724,0.0226621028987383,0.0573583910965292,0.0163474804228192
"21223",1.56455475723928,0.724170133288055,0.0796172547317631,0.0246914379790186,0.0583128068241689,0.0151159744410704
"21230",0.43254212274013,0.272178342490842,0.0868553189516681,0.0320970357917136,0.0653764429499154,0.0276671396654924
